순위,곡명,가수,앨범
1,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
2,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
3,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
4,헤어지자 말해요,박재정,1집 Alone
5,퀸카 (Queencard),(여자)아이들,I feel
6,I AM,IVE (아이브),I've IVE
7,모래 알갱이,임영웅,모래 알갱이
8,Fast Forward,전소미,GAME PLAN
9,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯
10,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”)
11,Spicy,aespa,MY WORLD - The 3rd Mini Album
12,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
13,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
14,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up'
15,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
16,우리들의 블루스,임영웅,IM HERO
17,Kitsch,IVE (아이브),I've IVE
18,Still With You,정국,Still With You
19,다시 만날 수 있을까,임영웅,IM HERO
20,Ditto,NewJeans,NewJeans 'OMG'
21,Summer (Feat. BE’O (비오)),Paul Blanco,Summer
22,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
23,무지개,임영웅,IM HERO
24,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
25,London Boy,임영웅,Polaroid
26,아버지,임영웅,IM HERO
27,Polaroid,임영웅,Polaroid
28,Love Lee,AKMU (악뮤),Love Lee
29,인생찬가,임영웅,IM HERO
30,A bientot,임영웅,IM HERO
31,Bubble,STAYC(스테이씨),TEENFRESH
32,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
33,손이 참 곱던 그대,임영웅,IM HERO
34,OMG,NewJeans,NewJeans 'OMG'
35,사랑해 진짜,임영웅,IM HERO
36,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
37,연애편지,임영웅,IM HERO
38,Cool With You,NewJeans,NewJeans 2nd EP 'Get Up'
39,Dynamite,방탄소년단,Dynamite (DayTime Version)
40,After LIKE,IVE (아이브),After LIKE
41,CAKE,ITZY (있지),KILL MY DOUBT
42,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
43,LOVE DIVE,IVE (아이브),LOVE DIVE
44,보금자리,임영웅,IM HERO
45,꽃,지수 (JISOO),ME
46,I Don't Think That I Like Her,Charlie Puth,CHARLIE
47,Love Me Again,V,Layover
48,Take Two,방탄소년단,Take Two
49,KIDDING,이세계아이돌,KIDDING
50,Teddy Bear,STAYC(스테이씨),Teddy Bear
51,나에게 그대만이,탑현,나에게 그대만이
52,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
53,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
54,심(心),DK(디셈버),심(心)
55,봄날,방탄소년단,YOU NEVER WALK ALONE
56,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
57,Butter,방탄소년단,Butter
58,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
59,후라이의 꿈,AKMU (악뮤),Love Lee
60,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
61,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
62,Like Crazy,지민,FACE
63,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
64,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
65,사실말야내가말야그게그러니까말이야,케이시 (Kassy),사실말야내가말야그게그러니까말이야
66,Candy,NCT DREAM,Candy - Winter Special Mini Album
67,사람 Pt.2 (feat. 아이유),Agust D,D-DAY
68,잠깐 시간 될까,이무진,잠깐 시간 될까
69,ASAP,NewJeans,NewJeans 2nd EP 'Get Up'
70,첫 키스에 내 심장은 120BPM,경서,ONGOING
71,ISTJ,NCT DREAM,ISTJ - The 3rd Album
72,Cupid,FIFTY FIFTY,The Beginning: Cupid
73,물론,허각,물론
74,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL),Golden Hourglass
75,Permission to Dance,방탄소년단,Butter / Permission to Dance
76,민들레 (single ver.),우효,민들레
77,사랑의 바보,제이세라,사랑의 바보
78,STAY,The Kid LAROI,Stay
79,I WANT,IVE (아이브),I WANT
80,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
81,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
82,Allergy,(여자)아이들,I feel
83,사랑..그게 뭔데,지아,사랑..그게 뭔데
84,취중고백,김민석 (멜로망스),취중고백
85,Rainy Days,V,Layover
86,on the street (with J. Cole),j-hope,on the street (with J. Cole)
87,해요 (2022),#안녕,해요 (2022)
88,TOMBOY,(여자)아이들,I NEVER DIE
89,In Bloom,ZEROBASEONE (제로베이스원),YOUTH IN THE SHADE
90,미친 사랑의 노래,김연지,미친 사랑의 노래
91,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
92,That's Hilarious,Charlie Puth,CHARLIE
93,LOCKDOWN,이세계아이돌,LOCKDOWN
94,Heaven(2023),임재현,시작은 첫키스 OST Part.1
95,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
96,Yogurt Shake,NCT DREAM,ISTJ - The 3rd Album
97,Nxde,(여자)아이들,I love
98,Broken Melodies,NCT DREAM,ISTJ - The 3rd Album
99,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
100,Monologue,테이,Monologue
